student_id,STG,SCG,STR,LPR,PEG,UNS,source_sheet
S039,0.09,0.33,0.31,0.26,0.0,very_low,Training_Data
S040,0.19,0.38,0.38,0.49,0.45,Middle,Training_Data
S041,0.02,0.33,0.36,0.76,0.1,Low,Training_Data
S042,0.2,0.49,0.6,0.2,0.78,High,Training_Data
S043,0.14,0.49,0.55,0.29,0.6,Middle,Training_Data
S044,0.18,0.33,0.61,0.64,0.25,Middle,Training_Data
S045,0.115,0.35,0.65,0.27,0.04,very_low,Training_Data
S046,0.17,0.36,0.8,0.14,0.66,Middle,Training_Data
S047,0.1,0.39,0.75,0.31,0.62,Middle,Training_Data
S048,0.13,0.39,0.85,0.38,0.77,High,Training_Data
S049,0.18,0.34,0.71,0.71,0.9,High,Training_Data
S050,0.09,0.51,0.02,0.18,0.67,Middle,Training_Data
S051,0.06,0.5,0.09,0.28,0.25,Low,Training_Data
S052,0.23,0.7,0.19,0.51,0.45,Middle,Training_Data
S053,0.09,0.55,0.12,0.78,0.05,Low,Training_Data
S054,0.24,0.75,0.32,0.18,0.86,High,Training_Data
S055,0.18,0.72,0.37,0.29,0.55,Middle,Training_Data
S056,0.1,0.6,0.33,0.42,0.26,Low,Training_Data
S057,0.2,0.52,0.36,0.84,0.25,Middle,Training_Data
S058,0.09,0.6,0.66,0.19,0.59,Middle,Training_Data
S059,0.18,0.51,0.58,0.33,0.82,High,Training_Data
S060,0.08,0.58,0.6,0.64,0.1,Low,Training_Data
S061,0.09,0.61,0.53,0.75,0.01,Low,Training_Data
S062,0.06,0.77,0.72,0.19,0.56,Middle,Training_Data
S063,0.15,0.79,0.78,0.3,0.51,Middle,Training_Data
S064,0.2,0.68,0.73,0.48,0.28,Low,Training_Data
S065,0.24,0.58,0.76,0.8,0.28,Middle,Training_Data
S066,0.25,0.1,0.03,0.09,0.15,very_low,Training_Data
S067,0.32,0.2,0.06,0.26,0.24,very_low,Training_Data
S068,0.29,0.06,0.19,0.55,0.51,Middle,Training_Data
S069,0.28,0.1,0.12,0.28,0.32,Low,Training_Data
S070,0.3,0.08,0.4,0.02,0.67,Middle,Training_Data
S071,0.27,0.12,0.37,0.29,0.58,Middle,Training_Data
S072,0.31,0.1,0.41,0.42,0.75,High,Training_Data
S073,0.29,0.15,0.33,0.66,0.08,very_low,Training_Data
S074,0.3,0.2,0.52,0.3,0.53,Middle,Training_Data
S075,0.28,0.16,0.69,0.33,0.78,High,Training_Data
S076,0.255,0.18,0.5,0.4,0.1,very_low,Training_Data
S077,0.265,0.06,0.57,0.75,0.1,Low,Training_Data
S078,0.275,0.1,0.72,0.1,0.3,Low,Training_Data
S079,0.245,0.1,0.71,0.26,0.2,very_low,Training_Data
S080,0.295,0.2,0.86,0.44,0.28,Low,Training_Data
S081,0.32,0.12,0.79,0.76,0.24,Low,Training_Data
S082,0.295,0.25,0.26,0.12,0.67,Middle,Training_Data
S083,0.315,0.32,0.29,0.29,0.62,Middle,Training_Data
S084,0.25,0.29,0.15,0.48,0.26,Low,Training_Data
S085,0.27,0.1,0.1,0.7,0.25,Low,Training_Data
S086,0.248,0.3,0.31,0.2,0.03,very_low,Training_Data
S087,0.325,0.25,0.38,0.31,0.79,High,Training_Data
S088,0.27,0.31,0.32,0.41,0.28,Low,Training_Data
S089,0.29,0.29,0.4,0.78,0.18,Low,Training_Data
S090,0.29,0.3,0.52,0.09,0.67,Middle,Training_Data
S091,0.258,0.28,0.64,0.29,0.56,Middle,Training_Data
S092,0.32,0.255,0.55,0.78,0.34,Middle,Training_Data
S093,0.251,0.265,0.57,0.6,0.09,very_low,Training_Data
S094,0.288,0.31,0.79,0.23,0.24,Low,Training_Data
S095,0.323,0.32,0.89,0.32,0.8,High,Training_Data
S096,0.255,0.305,0.86,0.62,0.15,Low,Training_Data
S097,0.295,0.25,0.73,0.77,0.19,Low,Training_Data
S098,0.258,0.25,0.295,0.33,0.77,High,Training_Data
S099,0.29,0.25,0.29,0.29,0.57,Middle,Training_Data
S100,0.243,0.27,0.08,0.42,0.29,Low,Training_Data
S101,0.27,0.28,0.18,0.48,0.26,Low,Training_Data
S102,0.299,0.32,0.31,0.33,0.87,High,Training_Data
S103,0.3,0.27,0.31,0.31,0.54,Middle,Training_Data
S104,0.245,0.26,0.38,0.49,0.27,Low,Training_Data
S105,0.295,0.29,0.31,0.76,0.1,Low,Training_Data
S106,0.29,0.3,0.56,0.25,0.67,Middle,Training_Data
S107,0.26,0.28,0.6,0.29,0.59,Middle,Training_Data
S108,0.305,0.255,0.63,0.4,0.54,Middle,Training_Data
S109,0.32,0.27,0.52,0.81,0.3,Middle,Training_Data
S110,0.299,0.295,0.8,0.37,0.84,High,Training_Data
S111,0.276,0.255,0.81,0.27,0.33,Low,Training_Data
S112,0.258,0.31,0.88,0.4,0.3,Low,Training_Data
S113,0.32,0.28,0.72,0.89,0.58,High,Training_Data
S114,0.329,0.55,0.02,0.4,0.79,High,Training_Data
S115,0.295,0.59,0.29,0.31,0.55,Middle,Training_Data
S116,0.285,0.64,0.18,0.61,0.45,Middle,Training_Data
S117,0.265,0.6,0.28,0.66,0.07,very_low,Training_Data
S118,0.315,0.69,0.28,0.8,0.7,High,Training_Data
S119,0.28,0.78,0.44,0.17,0.66,Middle,Training_Data
S120,0.325,0.61,0.46,0.32,0.81,High,Training_Data
S121,0.28,0.65,0.4,0.65,0.13,Low,Training_Data
S122,0.255,0.75,0.35,0.72,0.25,Low,Training_Data
S123,0.305,0.55,0.5,0.11,0.333,Low,Training_Data
S124,0.3,0.85,0.54,0.25,0.83,Middle,Training_Data
S125,0.325,0.9,0.52,0.49,0.76,High,Training_Data
S126,0.312,0.8,0.67,0.92,0.5,High,Training_Data
S127,0.299,0.7,0.95,0.22,0.66,High,Training_Data
S128,0.265,0.76,0.8,0.28,0.28,Low,Training_Data
S129,0.255,0.72,0.72,0.63,0.14,Low,Training_Data
S130,0.295,0.6,0.72,0.88,0.28,Middle,Training_Data
S131,0.39,0.05,0.02,0.06,0.34,Low,Training_Data
S132,0.4,0.18,0.26,0.26,0.67,Middle,Training_Data
S133,0.45,0.04,0.18,0.55,0.07,very_low,Training_Data
S134,0.48,0.12,0.28,0.7,0.71,High,Training_Data
S135,0.4,0.12,0.41,0.1,0.65,Middle,Training_Data
S136,0.41,0.18,0.33,0.31,0.5,Middle,Training_Data
S137,0.38,0.1,0.4,0.48,0.26,Low,Training_Data
S138,0.37,0.06,0.32,0.78,0.1,Low,Training_Data
S139,0.41,0.09,0.58,0.18,0.58,Middle,Training_Data
S140,0.38,0.01,0.53,0.27,0.3,Low,Training_Data
S141,0.33,0.04,0.5,0.55,0.1,very_low,Training_Data
S142,0.42,0.15,0.66,0.78,0.4,Middle,Training_Data
S143,0.44,0.08,0.8,0.22,0.56,Middle,Training_Data
S144,0.39,0.15,0.81,0.22,0.29,Low,Training_Data
S145,0.42,0.21,0.87,0.56,0.48,Middle,Training_Data
S146,0.46,0.2,0.76,0.95,0.65,High,Training_Data
S147,0.365,0.243,0.19,0.24,0.35,Low,Training_Data
S148,0.33,0.27,0.2,0.33,0.1,very_low,Training_Data
S149,0.345,0.299,0.1,0.64,0.13,Low,Training_Data
S150,0.48,0.3,0.15,0.65,0.77,High,Training_Data
S151,0.49,0.245,0.38,0.14,0.86,High,Training_Data
S152,0.334,0.295,0.33,0.32,0.3,Low,Training_Data
S153,0.36,0.29,0.37,0.48,0.13,very_low,Training_Data
S154,0.39,0.26,0.39,0.77,0.14,Low,Training_Data
S155,0.43,0.305,0.51,0.09,0.64,Middle,Training_Data
S156,0.44,0.32,0.55,0.33,0.52,Middle,Training_Data
S157,0.45,0.299,0.63,0.36,0.51,Middle,Training_Data
S158,0.495,0.276,0.58,0.77,0.83,High,Training_Data
S159,0.465,0.258,0.73,0.18,0.59,Middle,Training_Data
S160,0.475,0.32,0.79,0.31,0.54,Middle,Training_Data
S161,0.348,0.329,0.83,0.61,0.18,Low,Training_Data
S162,0.385,0.26,0.76,0.84,0.3,Middle,Training_Data
S163,0.445,0.39,0.02,0.24,0.88,High,Training_Data
S164,0.43,0.45,0.27,0.27,0.89,High,Training_Data
S165,0.33,0.34,0.1,0.49,0.12,very_low,Training_Data
S166,0.4,0.33,0.12,0.3,0.9,High,Training_Data
S167,0.34,0.4,0.38,0.2,0.61,Middle,Training_Data
S168,0.38,0.36,0.46,0.49,0.78,High,Training_Data
S169,0.35,0.38,0.32,0.6,0.16,Low,Training_Data
S170,0.41,0.49,0.34,0.21,0.92,High,Training_Data
S171,0.42,0.36,0.63,0.04,0.25,Low,Training_Data
S172,0.43,0.38,0.62,0.33,0.49,Middle,Training_Data
S173,0.44,0.33,0.59,0.53,0.85,High,Training_Data
S174,0.4,0.42,0.58,0.75,0.16,Low,Training_Data
S175,0.46,0.44,0.89,0.12,0.66,Middle,Training_Data
S176,0.38,0.39,0.79,0.33,0.3,Low,Training_Data
S177,0.39,0.42,0.83,0.65,0.19,Low,Training_Data
S178,0.49,0.34,0.88,0.75,0.71,High,Training_Data
S179,0.46,0.64,0.22,0.22,0.6,Middle,Training_Data
S180,0.44,0.55,0.11,0.26,0.83,High,Training_Data
S181,0.365,0.68,0.1,0.63,0.18,Low,Training_Data
S182,0.45,0.65,0.19,0.99,0.55,High,Training_Data
S183,0.46,0.78,0.38,0.24,0.89,High,Training_Data
S184,0.37,0.55,0.41,0.29,0.3,Low,Training_Data
S185,0.38,0.59,0.31,0.62,0.2,Low,Training_Data
S186,0.49,0.64,0.34,0.78,0.21,Low,Training_Data
S187,0.495,0.82,0.67,0.01,0.93,High,Training_Data
S188,0.44,0.69,0.61,0.29,0.57,Middle,Training_Data
S189,0.365,0.57,0.59,0.55,0.25,Low,Training_Data
S190,0.49,0.9,0.52,0.9,0.47,High,Training_Data
S191,0.445,0.7,0.82,0.16,0.64,Middle,Training_Data
S192,0.42,0.7,0.72,0.3,0.8,High,Training_Data
S193,0.37,0.6,0.77,0.4,0.5,Middle,Training_Data
S194,0.4,0.61,0.71,0.88,0.67,High,Training_Data
S195,0.6,0.14,0.22,0.11,0.66,Middle,Training_Data
S196,0.55,0.1,0.27,0.25,0.29,Low,Training_Data
S197,0.68,0.19,0.19,0.48,0.1,very_low,Training_Data
S198,0.73,0.2,0.07,0.72,0.26,Low,Training_Data
S199,0.78,0.15,0.38,0.18,0.63,Middle,Training_Data
S200,0.55,0.1,0.34,0.3,0.1,very_low,Training_Data
S201,0.59,0.18,0.31,0.55,0.09,very_low,Training_Data
S202,0.64,0.09,0.33,0.65,0.5,Middle,Training_Data
S203,0.6,0.19,0.55,0.08,0.1,very_low,Training_Data
S204,0.69,0.02,0.62,0.3,0.29,Low,Training_Data
S205,0.78,0.21,0.68,0.65,0.75,High,Training_Data
S206,0.62,0.14,0.52,0.81,0.15,Low,Training_Data
S207,0.7,0.18,0.88,0.09,0.66,Middle,Training_Data
S208,0.75,0.015,0.78,0.31,0.53,Middle,Training_Data
S209,0.55,0.17,0.71,0.48,0.11,very_low,Training_Data
S210,0.85,0.05,0.91,0.8,0.68,High,Training_Data
S211,0.78,0.27,0.13,0.14,0.62,Middle,Training_Data
S212,0.8,0.29,0.06,0.31,0.51,Middle,Training_Data
S213,0.9,0.26,0.19,0.58,0.79,High,Training_Data
S214,0.76,0.258,0.07,0.83,0.34,Middle,Training_Data
S215,0.72,0.32,0.48,0.2,0.6,Middle,Training_Data
S216,0.6,0.251,0.39,0.29,0.3,Low,Training_Data
S217,0.52,0.288,0.32,0.5,0.3,Low,Training_Data
S218,0.6,0.31,0.31,0.87,0.58,High,Training_Data
S219,0.51,0.255,0.55,0.17,0.64,Middle,Training_Data
S220,0.58,0.295,0.62,0.28,0.3,Low,Training_Data
S221,0.61,0.258,0.56,0.62,0.24,Low,Training_Data
S222,0.77,0.267,0.59,0.78,0.28,Middle,Training_Data
S223,0.79,0.28,0.88,0.2,0.66,Middle,Training_Data
S224,0.68,0.27,0.78,0.31,0.57,Middle,Training_Data
S225,0.58,0.299,0.73,0.63,0.21,Low,Training_Data
S226,0.77,0.29,0.74,0.82,0.68,High,Training_Data
S227,0.71,0.475,0.13,0.23,0.59,Middle,Training_Data
S228,0.58,0.348,0.06,0.29,0.31,Low,Training_Data
S229,0.88,0.335,0.19,0.55,0.78,High,Training_Data
S230,0.99,0.49,0.07,0.7,0.69,High,Training_Data
S231,0.73,0.43,0.32,0.12,0.65,Middle,Training_Data
S232,0.61,0.33,0.36,0.28,0.28,Low,Training_Data
S233,0.51,0.4,0.4,0.59,0.23,Low,Training_Data
S234,0.83,0.44,0.49,0.91,0.66,High,Training_Data
S235,0.66,0.38,0.55,0.15,0.62,Middle,Training_Data
S236,0.58,0.35,0.51,0.27,0.3,Low,Training_Data
S237,0.523,0.41,0.55,0.6,0.22,Low,Training_Data
S238,0.66,0.36,0.56,0.4,0.83,High,Training_Data
S239,0.62,0.37,0.81,0.13,0.64,Middle,Training_Data
S240,0.52,0.44,0.82,0.3,0.52,Middle,Training_Data
S241,0.5,0.4,0.73,0.62,0.2,Low,Training_Data
S242,0.71,0.46,0.95,0.78,0.86,High,Training_Data
S243,0.64,0.55,0.15,0.18,0.63,Middle,Training_Data
S244,0.52,0.85,0.06,0.27,0.25,Low,Training_Data
S245,0.62,0.62,0.24,0.65,0.25,Middle,Training_Data
S246,0.91,0.58,0.26,0.89,0.88,High,Training_Data
S247,0.62,0.67,0.39,0.1,0.66,Middle,Training_Data
S248,0.58,0.58,0.31,0.29,0.29,Low,Training_Data
S249,0.89,0.68,0.49,0.65,0.9,High,Training_Data
S250,0.72,0.6,0.45,0.79,0.45,Middle,Training_Data
S251,0.68,0.63,0.65,0.09,0.66,Middle,Training_Data
S252,0.56,0.6,0.6,0.31,0.5,Middle,Training_Data
S253,0.54,0.51,0.55,0.64,0.19,Low,Training_Data
S254,0.61,0.78,0.69,0.92,0.58,High,Training_Data
S255,0.78,0.61,0.71,0.19,0.6,Middle,Training_Data
S256,0.54,0.82,0.71,0.29,0.77,High,Training_Data
S257,0.5,0.75,0.81,0.61,0.26,Middle,Training_Data
S258,0.66,0.9,0.76,0.87,0.74,High,Training_Data
S259,0.0,0.1,0.5,0.26,0.05,very_low,Test_Data
S260,0.05,0.05,0.55,0.6,0.14,Low,Test_Data
S261,0.08,0.18,0.63,0.6,0.85,High,Test_Data
S262,0.2,0.2,0.68,0.67,0.85,High,Test_Data
S263,0.22,0.22,0.9,0.3,0.9,High,Test_Data
S264,0.14,0.14,0.7,0.5,0.3,Low,Test_Data
S265,0.16,0.16,0.8,0.5,0.5,Middle,Test_Data
S266,0.12,0.12,0.75,0.68,0.15,Low,Test_Data
S267,0.2,0.2,0.88,0.77,0.8,High,Test_Data
S268,0.16,0.25,0.01,0.1,0.07,very_low,Test_Data
S269,0.11,0.29,0.2,0.05,0.66,Middle,Test_Data
S270,0.18,0.26,0.05,0.4,0.04,very_low,Test_Data
S271,0.21,0.32,0.25,0.5,0.8,High,Test_Data
S272,0.13,0.28,0.18,0.75,0.32,Middle,Test_Data
S273,0.23,0.29,0.45,0.18,0.88,High,Test_Data
S274,0.1,0.27,0.35,0.45,0.05,very_low,Test_Data
S275,0.22,0.31,0.42,0.88,0.8,High,Test_Data
S276,0.0,0.25,0.5,0.09,0.07,very_low,Test_Data
S277,0.05,0.29,0.58,0.14,0.32,Low,Test_Data
S278,0.1,0.3,0.58,0.28,0.55,Middle,Test_Data
S279,0.2,0.32,0.65,0.31,0.89,High,Test_Data
S280,0.19,0.28,0.57,0.58,0.17,Low,Test_Data
S281,0.11,0.26,0.56,0.68,0.27,Low,Test_Data
S282,0.12,0.28,0.7,0.16,0.32,Low,Test_Data
S283,0.18,0.29,0.78,0.15,0.61,Middle,Test_Data
S284,0.2,0.25,0.7,0.25,0.03,very_low,Test_Data
S285,0.16,0.28,0.72,0.27,0.32,Low,Test_Data
S286,0.11,0.3,0.79,0.8,0.32,Middle,Test_Data
S287,0.18,0.31,0.81,0.7,0.4,Middle,Test_Data
S288,0.1,0.33,0.02,0.0,0.25,very_low,Test_Data
S289,0.18,0.37,0.11,0.28,0.3,Low,Test_Data
S290,0.13,0.4,0.17,0.25,0.38,Low,Test_Data
S291,0.11,0.42,0.38,0.82,0.31,Middle,Test_Data
S292,0.22,0.48,0.47,0.78,0.81,High,Test_Data
S293,0.14,0.38,0.59,0.11,0.32,Low,Test_Data
S294,0.15,0.42,0.6,0.15,0.62,Middle,Test_Data
S295,0.09,0.38,0.54,0.69,0.21,Low,Test_Data
S296,0.2,0.49,0.68,0.76,0.78,High,Test_Data
S297,0.12,0.62,0.21,0.3,0.59,Middle,Test_Data
S298,0.14,0.65,0.19,0.26,0.66,Middle,Test_Data
S299,0.16,0.51,0.09,0.38,0.1,very_low,Test_Data
S300,0.12,0.56,0.13,0.48,0.32,Low,Test_Data
S301,0.2,0.85,0.24,0.79,0.85,High,Test_Data
S302,0.16,0.52,0.3,0.09,0.11,very_low,Test_Data
S303,0.21,0.78,0.42,0.32,0.84,High,Test_Data
S304,0.08,0.56,0.33,0.4,0.1,very_low,Test_Data
S305,0.14,0.61,0.39,0.56,0.56,Middle,Test_Data
S306,0.18,0.7,0.41,0.67,0.33,Middle,Test_Data
S307,0.22,0.8,0.44,0.78,0.88,High,Test_Data
S308,0.1,0.6,0.51,0.1,0.01,very_low,Test_Data
S309,0.15,0.67,0.56,0.07,0.66,Middle,Test_Data
S310,0.0,0.62,0.52,0.26,0.07,very_low,Test_Data
S311,0.11,0.88,0.67,0.66,0.89,High,Test_Data
S312,0.08,0.56,0.7,0.14,0.1,very_low,Test_Data
S313,0.21,0.9,0.9,0.22,0.92,High,Test_Data
S314,0.08,0.58,0.71,0.27,0.09,very_low,Test_Data
S315,0.13,0.62,0.77,0.28,0.31,Low,Test_Data
S316,0.21,0.88,0.87,0.56,0.95,High,Test_Data
S317,0.22,0.86,0.83,0.89,0.65,High,Test_Data
S318,0.2,0.78,0.91,0.82,0.85,High,Test_Data
S319,0.25,0.0,0.1,0.12,0.37,Low,Test_Data
S320,0.29,0.1,0.17,0.74,0.52,Middle,Test_Data
S321,0.3,0.18,0.23,0.9,0.84,High,Test_Data
S322,0.32,0.02,0.34,0.13,0.31,Low,Test_Data
S323,0.28,0.12,0.38,0.17,0.6,Middle,Test_Data
S324,0.26,0.09,0.33,0.28,0.32,Low,Test_Data
S325,0.28,0.16,0.41,0.51,0.56,Middle,Test_Data
S326,0.26,0.12,0.34,0.68,0.29,Low,Test_Data
S327,0.31,0.2,0.46,0.78,0.83,High,Test_Data
S328,0.25,0.05,0.53,0.1,0.12,very_low,Test_Data
S329,0.32,0.15,0.66,0.24,0.82,High,Test_Data
S330,0.28,0.08,0.52,0.25,0.08,very_low,Test_Data
S331,0.33,0.2,0.64,0.59,0.94,High,Test_Data
S332,0.31,0.15,0.58,0.76,0.52,Middle,Test_Data
S333,0.28,0.06,0.7,0.27,0.32,Low,Test_Data
S334,0.3,0.16,0.89,0.32,0.95,High,Test_Data
S335,0.27,0.03,0.76,0.59,0.23,Low,Test_Data
S336,0.32,0.2,0.84,0.81,0.8,High,Test_Data
S337,0.31,0.32,0.29,0.31,0.96,High,Test_Data
S338,0.28,0.29,0.19,0.37,0.58,Middle,Test_Data
S339,0.32,0.31,0.26,0.83,0.77,High,Test_Data
S340,0.25,0.28,0.3,0.001,0.25,very_low,Test_Data
S341,0.26,0.26,0.31,0.26,0.13,very_low,Test_Data
S342,0.27,0.29,0.34,0.28,0.32,Low,Test_Data
S343,0.28,0.28,0.38,0.29,0.62,Middle,Test_Data
S344,0.26,0.26,0.35,0.62,0.24,Low,Test_Data
S345,0.3,0.32,0.43,0.87,0.83,High,Test_Data
S346,0.25,0.26,0.51,0.04,0.13,very_low,Test_Data
S347,0.28,0.27,0.56,0.14,0.31,Low,Test_Data
S348,0.31,0.32,0.69,0.3,0.98,High,Test_Data
S349,0.28,0.29,0.57,0.6,0.27,Low,Test_Data
S350,0.27,0.28,0.59,0.69,0.26,Middle,Test_Data
S351,0.25,0.28,0.77,0.11,0.31,Low,Test_Data
S352,0.25,0.54,0.31,0.25,0.08,very_low,Test_Data
S353,0.29,0.66,0.35,0.28,0.31,Low,Test_Data
S354,0.29,0.74,0.39,0.41,0.54,Middle,Test_Data
S355,0.31,0.82,0.47,0.4,0.99,High,Test_Data
S356,0.28,0.55,0.38,0.9,0.22,Low,Test_Data
S357,0.33,0.04,0.02,0.12,0.11,very_low,Test_Data
S358,0.37,0.09,0.1,0.13,0.32,Low,Test_Data
S359,0.4,0.15,0.16,0.3,0.58,Middle,Test_Data
S360,0.37,0.07,0.1,0.41,0.3,Low,Test_Data
S361,0.41,0.11,0.21,0.44,0.57,Middle,Test_Data
S362,0.42,0.13,0.15,0.94,0.3,Middle,Test_Data
S363,0.41,0.04,0.33,0.26,0.12,very_low,Test_Data
S364,0.38,0.09,0.37,0.28,0.32,Low,Test_Data
S365,0.42,0.29,0.14,0.03,0.68,Middle,Test_Data
S366,0.4,0.3,0.18,0.29,0.59,Middle,Test_Data
S367,0.38,0.33,0.1,0.07,0.4,Low,Test_Data
S368,0.47,0.47,0.25,0.96,0.61,High,Test_Data
S369,0.41,0.37,0.79,0.12,0.32,Low,Test_Data
S370,0.42,0.39,0.78,0.32,0.2,Low,Test_Data
S371,0.36,0.52,0.07,0.1,0.15,very_low,Test_Data
S372,0.4,0.59,0.77,0.99,0.24,Middle,Test_Data
S373,0.43,0.65,0.76,0.94,0.29,Middle,Test_Data
S374,0.6,0.08,0.13,0.14,0.32,Low,Test_Data
S375,0.8,0.24,0.23,0.29,0.98,High,Test_Data
S376,0.65,0.09,0.16,0.49,0.31,Low,Test_Data
S377,0.68,0.16,0.2,0.59,0.6,Middle,Test_Data
S378,0.75,0.22,0.24,0.96,0.62,High,Test_Data
S379,0.87,0.23,0.25,0.85,0.8,High,Test_Data
S380,0.52,0.08,0.33,0.07,0.09,very_low,Test_Data
S381,0.62,0.12,0.36,0.36,0.32,Low,Test_Data
S382,0.68,0.15,0.58,0.35,0.6,Middle,Test_Data
S383,0.54,0.25,0.07,0.09,0.11,very_low,Test_Data
S384,0.9,0.31,0.24,0.3,0.97,High,Test_Data
S385,0.56,0.27,0.11,0.59,0.22,Low,Test_Data
S386,0.85,0.32,0.22,0.87,0.79,High,Test_Data
S387,0.52,0.28,0.32,0.1,0.1,very_low,Test_Data
S388,0.78,0.47,0.24,0.3,0.93,High,Test_Data
S389,0.56,0.35,0.1,0.62,0.23,Low,Test_Data
S390,0.61,0.38,0.09,0.38,0.3,Low,Test_Data
S391,0.78,0.47,0.29,0.98,0.59,High,Test_Data
S392,0.58,0.4,0.32,0.22,0.24,Low,Test_Data
S393,0.68,0.43,0.6,0.47,0.55,Middle,Test_Data
S394,0.57,0.37,0.75,0.27,0.32,Low,Test_Data
S395,0.62,0.56,0.11,0.24,0.22,Low,Test_Data
S396,0.64,0.58,0.14,0.32,0.21,Low,Test_Data
S397,0.64,0.59,0.12,0.58,0.24,Low,Test_Data
S398,0.68,0.61,0.34,0.31,0.23,Low,Test_Data
S399,0.9,0.78,0.62,0.32,0.89,High,Test_Data
S400,0.85,0.82,0.66,0.83,0.83,High,Test_Data
S401,0.56,0.6,0.77,0.13,0.32,Low,Test_Data
S402,0.66,0.68,0.81,0.57,0.57,Middle,Test_Data
S403,0.68,0.64,0.79,0.97,0.24,Middle,Test_Data
