student_id,STG,SCG,STR,LPR,PEG,UNS,source_sheet
S302,0.16,0.52,0.3,0.09,0.11,very_low,Test_Data
S308,0.1,0.6,0.51,0.1,0.01,very_low,Test_Data
S311,0.11,0.88,0.67,0.66,0.89,High,Test_Data
S323,0.28,0.12,0.38,0.17,0.6,Middle,Test_Data
S327,0.31,0.2,0.46,0.78,0.83,High,Test_Data
S332,0.31,0.15,0.58,0.76,0.52,Middle,Test_Data
S335,0.27,0.03,0.76,0.59,0.23,Low,Test_Data
S338,0.28,0.29,0.19,0.37,0.58,Middle,Test_Data
S341,0.26,0.26,0.31,0.26,0.13,very_low,Test_Data
S350,0.27,0.28,0.59,0.69,0.26,Middle,Test_Data
S353,0.29,0.66,0.35,0.28,0.31,Low,Test_Data
S354,0.29,0.74,0.39,0.41,0.54,Middle,Test_Data
S357,0.33,0.04,0.02,0.12,0.11,very_low,Test_Data
S365,0.42,0.29,0.14,0.03,0.68,Middle,Test_Data
S367,0.38,0.33,0.1,0.07,0.4,Low,Test_Data
S374,0.6,0.08,0.13,0.14,0.32,Low,Test_Data
S376,0.65,0.09,0.16,0.49,0.31,Low,Test_Data
S386,0.85,0.32,0.22,0.87,0.79,High,Test_Data
S391,0.78,0.47,0.29,0.98,0.59,High,Test_Data
S392,0.58,0.4,0.32,0.22,0.24,Low,Test_Data
S393,0.68,0.43,0.6,0.47,0.55,Middle,Test_Data
S399,0.9,0.78,0.62,0.32,0.89,High,Test_Data
S400,0.85,0.82,0.66,0.83,0.83,High,Test_Data
