area,perimeter,compactness,kernel_length,kernel_width,asymmetry,groove_length,variety,variety_name,cluster,plot_x,plot_y
14.37,14.39,0.8726,5.569,3.153,1.464,5.3,1,Kama,1,-0.19841114070993415,-1.1981584196032002
12.73,13.75,0.8458,5.412,2.882,3.533,5.067,1,Kama,2,-1.790810640328507,0.16750606094726925
17.63,15.98,0.8673,6.191,3.561,4.076,6.06,2,Rosa,0,2.23549061785818,1.0496857573464315
16.84,15.67,0.8623,5.998,3.484,4.675,5.877,2,Rosa,0,1.4854090804155216,1.2141106581326024
17.26,15.73,0.8763,5.978,3.594,4.539,5.791,2,Rosa,0,1.7846127404803394,0.7330188790647956
19.11,16.26,0.9081,6.154,3.93,2.936,6.079,2,Rosa,0,3.530065495755721,-0.49630069907999663
16.82,15.51,0.8786,6.017,3.486,4.004,5.841,2,Rosa,0,1.6648402612737945,0.4975700062191257
16.77,15.62,0.8638,5.927,3.438,4.92,5.795,2,Rosa,0,1.27036103128528,1.211744893662953
17.32,15.91,0.8599,6.064,3.403,3.824,5.922,2,Rosa,0,1.6851263029388304,0.9715905203751969
20.71,17.23,0.8763,6.579,3.814,4.451,6.451,2,Rosa,0,4.178008596409342,1.538920561442621
18.94,16.49,0.875,6.445,3.639,5.064,6.362,2,Rosa,0,3.1926993882990145,1.720444645374825
17.12,15.55,0.8892,5.85,3.566,2.858,5.746,2,Rosa,0,1.7964255984348323,-0.4584333920298926
16.53,15.34,0.8823,5.875,3.467,5.532,5.88,2,Rosa,0,1.358284262637159,1.1008917913344352
18.72,16.19,0.8977,6.006,3.857,5.324,5.879,2,Rosa,0,2.751847423807808,0.6701441364918002
20.2,16.89,0.8894,6.285,3.864,5.173,6.187,2,Rosa,0,3.648731209488883,1.207755807240146
19.57,16.74,0.8779,6.384,3.772,1.472,6.273,2,Rosa,0,3.7162467976708555,-0.17757264117897006
19.51,16.71,0.878,6.366,3.801,2.962,6.185,2,Rosa,0,3.526737666277237,0.4447482250069577
18.27,16.09,0.887,6.173,3.651,2.443,6.197,2,Rosa,0,2.925798323440143,-0.09090073494986414
18.88,16.26,0.8969,6.084,3.764,1.649,6.109,2,Rosa,0,3.231009448879024,-0.8202271297574757
18.98,16.66,0.859,6.549,3.67,3.691,6.498,2,Rosa,0,3.419721338660444,1.5782184583366523
21.18,17.21,0.8989,6.573,4.033,5.78,6.231,2,Rosa,0,4.475697372913576,1.4299328612466227
20.88,17.05,0.9031,6.45,4.032,5.016,6.321,2,Rosa,0,4.437393938472349,0.9696827935163723
20.1,16.99,0.8746,6.581,3.785,1.955,6.449,2,Rosa,0,4.147819603610688,0.3714851354924477
18.76,16.2,0.8984,6.172,3.796,3.12,6.053,2,Rosa,0,3.1703914537213076,-0.16781202262398892
18.81,16.29,0.8906,6.272,3.693,3.237,6.053,2,Rosa,0,3.0851504474454354,0.1479512482304064
18.59,16.05,0.9066,6.037,3.86,6.001,5.877,2,Rosa,0,2.7670816347685014,0.7956841334802102
18.36,16.52,0.8452,6.666,3.485,4.933,6.448,2,Rosa,0,2.8770282442074544,2.540226095695997
16.87,15.65,0.8648,6.139,3.463,3.696,5.967,2,Rosa,0,1.7721323172867323,0.8305299131730597
19.31,16.59,0.8815,6.341,3.81,3.477,6.238,2,Rosa,0,3.48405128092553,0.6290850486575428
18.98,16.57,0.8687,6.449,3.552,2.144,6.453,2,Rosa,0,3.358721956122655,0.5706427435110781
18.17,16.26,0.8637,6.271,3.512,2.853,6.273,2,Rosa,0,2.6561158783731185,0.7852968530033733
18.72,16.34,0.881,6.219,3.684,2.188,6.097,2,Rosa,0,3.032126918885422,-0.1235652009982496
16.41,15.25,0.8866,5.718,3.525,4.217,5.618,2,Rosa,0,1.1732824384949505,0.0763107552871511
17.99,15.86,0.8992,5.89,3.694,2.068,5.837,2,Rosa,0,2.471946385949765,-0.9835137814876995
19.46,16.5,0.8985,6.113,3.892,4.308,6.009,2,Rosa,0,3.3054101134024894,0.3324009867004603
19.18,16.63,0.8717,6.369,3.681,3.357,6.229,2,Rosa,0,3.2435864723653727,0.8391783065288893
18.95,16.42,0.8829,6.248,3.755,3.368,6.148,2,Rosa,0,3.1730269231639197,0.43576650680742834
18.83,16.29,0.8917,6.037,3.786,2.553,5.879,2,Rosa,0,2.899497491607855,-0.4756291187735419
18.85,16.17,0.9056,6.152,3.806,2.843,6.2,2,Rosa,0,3.3889295659845535,-0.3622596305228421
17.63,15.86,0.88,6.033,3.573,3.747,5.929,2,Rosa,0,2.1290314289896632,0.42150748093321866
19.94,16.92,0.8752,6.675,3.763,3.252,6.55,2,Rosa,0,4.148574918633508,1.100230223156272
18.55,16.22,0.8865,6.153,3.674,1.738,5.894,2,Rosa,0,2.8306397952743216,-0.6552130336625135
18.45,16.12,0.8921,6.107,3.769,2.235,5.794,2,Rosa,0,2.7939917289748375,-0.6785340059169875
19.38,16.72,0.8716,6.303,3.791,3.678,5.965,2,Rosa,0,3.13278001189008,0.7345570532829304
19.13,16.31,0.9035,6.183,3.902,2.109,5.924,2,Rosa,0,3.434694346994717,-0.8819407437073772
19.14,16.61,0.8722,6.259,3.737,6.682,6.053,2,Rosa,0,2.793391280486863,2.211418232448321
20.97,17.25,0.8859,6.563,3.991,4.677,6.316,2,Rosa,0,4.400903932036165,1.2689843938996688
19.06,16.45,0.8854,6.416,3.719,2.248,6.163,2,Rosa,0,3.4495255176102844,-0.05171664165400539
18.96,16.2,0.9077,6.051,3.897,4.334,5.75,2,Rosa,0,2.975043914636723,-0.11529443006270504
19.15,16.45,0.889,6.245,3.815,3.084,6.185,2,Rosa,0,3.4032344362636566,0.17535616802657958
18.89,16.23,0.9008,6.227,3.769,3.639,5.966,2,Rosa,0,3.1405946554998234,-0.003453532080193422
20.03,16.9,0.8811,6.493,3.857,3.063,6.32,2,Rosa,0,3.9918174423380846,0.5861370488587822
20.24,16.91,0.8897,6.315,3.962,5.901,6.188,2,Rosa,0,3.749656788114464,1.5350114194402775
18.14,16.12,0.8772,6.059,3.563,3.619,6.011,2,Rosa,0,2.350647246719942,0.5229108168732844
16.17,15.38,0.8588,5.762,3.387,4.286,5.703,2,Rosa,0,0.7992163359291464,0.8681367069476972
18.43,15.97,0.9077,5.98,3.771,2.984,5.905,2,Rosa,0,2.832389286218084,-0.6550054954583896
15.99,14.89,0.9064,5.363,3.582,3.336,5.144,2,Rosa,1,0.6403511266764106,-1.3639844076429632
18.75,16.18,0.8999,6.111,3.869,4.188,5.992,2,Rosa,0,3.072426173229968,0.20960593040000158
18.65,16.41,0.8698,6.285,3.594,4.391,6.102,2,Rosa,0,2.703012372071207,1.2470697398568804
17.98,15.85,0.8993,5.979,3.687,2.257,5.919,2,Rosa,0,2.5952407178507877,-0.7894419729725936
20.16,17.03,0.8735,6.513,3.773,1.91,6.185,2,Rosa,0,3.8737908720351215,0.14673206159095378
17.55,15.66,0.8991,5.791,3.69,5.366,5.661,2,Rosa,0,1.83620478297299,0.397730638032868
18.3,15.89,0.9108,5.979,3.755,2.837,5.962,2,Rosa,0,2.859103193279506,-0.7528567364769679
18.94,16.32,0.8942,6.144,3.825,2.908,5.949,2,Rosa,0,3.1304015514679655,-0.2675057609625032
15.38,14.9,0.8706,5.884,3.268,4.462,5.795,2,Rosa,0,0.6931734556806349,0.8136751669951378
16.16,15.33,0.8644,5.845,3.395,4.266,5.795,2,Rosa,0,1.009500509508878,0.8365340263961646
15.56,14.89,0.8823,5.776,3.408,4.972,5.847,2,Rosa,0,0.9128563124620863,0.7421100541403826
15.38,14.66,0.899,5.477,3.465,3.6,5.439,2,Rosa,1,0.5689365760613008,-0.7758144251703704
17.36,15.76,0.8785,6.145,3.574,3.526,5.971,2,Rosa,0,2.195295920528728,0.42483015385390543
15.57,15.15,0.8527,5.92,3.231,2.64,5.879,2,Rosa,0,0.7991496632227565,0.45540543314329923
15.6,15.11,0.858,5.832,3.286,2.725,5.752,2,Rosa,1,0.7243066296161756,0.219013692570689
16.23,15.18,0.885,5.872,3.472,3.769,5.922,2,Rosa,0,1.4653866714354957,0.21399620388216314
13.07,13.92,0.848,5.472,2.994,5.304,5.395,3,Canadian,2,-1.350277401031978,1.224214366361138
13.32,13.94,0.8613,5.541,3.073,7.035,5.44,3,Canadian,2,-1.0935027972078277,1.798847963133152
13.34,13.95,0.862,5.389,3.074,5.995,5.307,3,Canadian,2,-1.2460592225142295,1.113457375525105
12.22,13.32,0.8652,5.224,2.967,5.469,5.221,3,Canadian,2,-1.9007785190555737,0.6294512490820389
11.82,13.4,0.8274,5.314,2.777,4.471,5.178,3,Canadian,2,-2.466093418120321,1.0701795218642474
11.21,13.13,0.8167,5.279,2.687,6.169,5.275,3,Canadian,2,-2.971432528581876,2.185082001434679
11.43,13.13,0.8335,5.176,2.719,2.221,5.132,3,Canadian,2,-2.602780336992295,-0.24480325590730068
12.49,13.46,0.8658,5.267,2.967,4.421,5.002,3,Canadian,2,-1.8537295481350264,-0.021828319112988895
12.7,13.71,0.8491,5.386,2.911,3.26,5.316,3,Canadian,2,-1.5435672240168081,0.13056009304721633
10.79,12.93,0.8107,5.317,2.648,5.462,5.194,3,Canadian,2,-3.1904346149376477,1.9326025221208436
11.83,13.23,0.8496,5.263,2.84,5.195,5.307,3,Canadian,2,-2.193234971659194,0.9629660520265177
12.01,13.52,0.8249,5.405,2.776,6.992,5.27,3,Canadian,2,-2.4664939235071506,2.454125975959279
12.26,13.6,0.8333,5.408,2.833,4.756,5.36,3,Canadian,2,-1.986040453554649,1.257346791274769
11.18,13.04,0.8266,5.22,2.693,3.332,5.001,3,Canadian,2,-2.931703450255959,0.36074994863183457
11.36,13.05,0.8382,5.175,2.755,4.048,5.263,3,Canadian,2,-2.586118084768664,0.6062376402378626
11.19,13.05,0.8253,5.25,2.675,5.813,5.219,3,Canadian,2,-2.958169275000251,1.7636728245348994
11.34,12.87,0.8596,5.053,2.849,3.347,5.003,3,Canadian,2,-2.55747835713736,-0.5069300032618607
12.13,13.73,0.8081,5.394,2.745,4.825,5.22,3,Canadian,2,-2.4885239515760427,1.7762129343603978
11.75,13.52,0.8082,5.444,2.678,4.378,5.31,3,Canadian,2,-2.5393167061844126,1.6566009382490807
11.49,13.22,0.8263,5.304,2.695,5.388,5.31,3,Canadian,2,-2.6626583872217826,1.6407881897638261
12.54,13.67,0.8425,5.451,2.879,3.082,5.491,3,Canadian,2,-1.4813817441856765,0.36442379271035474
12.02,13.33,0.8503,5.35,2.81,4.271,5.308,3,Canadian,2,-1.9992067726130536,0.5644335185483058
12.05,13.41,0.8416,5.267,2.847,4.988,5.046,3,Canadian,2,-2.3703918072185997,0.8561413393019783
12.55,13.57,0.8558,5.333,2.968,4.419,5.176,3,Canadian,2,-1.7228265685515074,0.3736338994930471
11.14,12.79,0.8558,5.011,2.794,6.388,5.049,3,Canadian,2,-2.967604858338054,1.0576140567134789
12.1,13.15,0.8793,5.105,2.941,2.201,5.056,3,Canadian,1,-1.8266668031998197,-1.43532582341661
12.44,13.59,0.8462,5.319,2.897,4.924,5.27,3,Canadian,2,-1.9064089100969954,0.9185419525355865
12.15,13.45,0.8443,5.417,2.837,3.638,5.338,3,Canadian,2,-1.840143114614189,0.4514539013407412
11.35,13.12,0.8291,5.176,2.668,4.337,5.132,3,Canadian,2,-2.8961440571277413,0.8796810347498181
11.24,13.0,0.8359,5.09,2.715,3.521,5.088,3,Canadian,2,-2.8723487266878776,0.23982529334850958
11.02,13.0,0.8189,5.325,2.701,6.735,5.163,3,Canadian,2,-3.091797346989226,2.3270249928235818
11.55,13.1,0.8455,5.167,2.845,6.715,4.956,3,Canadian,2,-2.8120374144073303,1.4542014773609464
11.27,12.97,0.8419,5.088,2.763,4.309,5.0,3,Canadian,2,-2.8860382361550485,0.3965962702586132
11.4,13.08,0.8375,5.136,2.763,5.588,5.089,3,Canadian,2,-2.865489795630471,1.2057541221041432
10.83,12.96,0.8099,5.278,2.641,5.182,5.185,3,Canadian,2,-3.2139063791616715,1.7961103416040254
10.8,12.57,0.859,4.981,2.821,4.773,5.063,3,Canadian,2,-2.915511583809979,0.185058701444736
11.26,13.01,0.8355,5.186,2.71,5.335,5.092,3,Canadian,2,-2.9247294481862736,1.1659584577147903
10.74,12.73,0.8329,5.145,2.642,4.702,4.963,3,Canadian,2,-3.2989743984516062,0.8016922149459736
11.48,13.05,0.8473,5.18,2.758,5.876,5.002,3,Canadian,2,-2.8033100407048437,1.0773360961296923
12.21,13.47,0.8453,5.357,2.893,1.661,5.178,3,Canadian,2,-1.7754998230425287,-0.6824115922403
11.41,12.95,0.856,5.09,2.775,4.957,4.825,3,Canadian,2,-2.879445432202811,0.2523690509591302
12.46,13.41,0.8706,5.236,3.017,4.987,5.147,3,Canadian,2,-1.7214294809759558,0.21905323494544016
12.19,13.36,0.8579,5.24,2.909,4.857,5.158,3,Canadian,2,-2.030207447873614,0.4800790070543288
11.65,13.07,0.8575,5.108,2.85,5.209,5.135,3,Canadian,2,-2.4561585055582302,0.5727145044021765
12.89,13.77,0.8541,5.495,3.026,6.185,5.316,3,Canadian,2,-1.4302922078760563,1.4370576485638067
11.56,13.31,0.8198,5.363,2.683,4.062,5.182,3,Canadian,2,-2.651212213217145,1.0921437186515202
11.81,13.45,0.8198,5.413,2.716,4.898,5.352,3,Canadian,2,-2.411579715499683,1.6468688992403466
10.91,12.8,0.8372,5.088,2.675,4.179,4.956,3,Canadian,2,-3.179547105797601,0.4191143611775694
11.23,12.82,0.8594,5.089,2.821,7.524,4.957,3,Canadian,2,-2.9581298658328627,1.4797016703968293
10.59,12.41,0.8648,4.899,2.787,4.975,4.794,3,Canadian,2,-3.2797625820102354,-0.09545549604169233
10.93,12.8,0.839,5.046,2.717,5.398,5.045,3,Canadian,2,-3.1735196552008262,0.9973780978324448
11.27,12.86,0.8563,5.091,2.804,3.985,5.001,3,Canadian,2,-2.677703684760323,-0.09911533890232785
11.87,13.02,0.8795,5.132,2.953,3.597,5.132,3,Canadian,2,-1.9143916623206252,-0.7157792518442643
10.82,12.83,0.8256,5.18,2.63,4.853,5.089,3,Canadian,2,-3.231316943782189,1.161861891032444
12.11,13.27,0.8639,5.236,2.975,4.132,5.012,3,Canadian,2,-1.9883922442589899,-0.14225864056867377
12.8,13.47,0.886,5.16,3.126,4.873,4.914,3,Canadian,2,-1.5906512949414795,-0.4225553250843661
12.79,13.53,0.8786,5.224,3.054,5.483,4.958,3,Canadian,2,-1.6937046150292183,0.12483834724800386
13.37,13.78,0.8849,5.32,3.128,4.67,5.091,3,Canadian,1,-1.0997831474888666,-0.2595731146820077
12.62,13.67,0.8481,5.41,2.911,3.306,5.231,3,Canadian,2,-1.6288851289451416,0.11747471033552855
12.76,13.38,0.8964,5.073,3.155,2.828,4.83,3,Canadian,1,-1.4596326727681748,-1.7536860111661376
12.38,13.44,0.8609,5.219,2.989,5.472,5.045,3,Canadian,2,-2.00487209898647,0.5920704673169271
12.67,13.32,0.8977,4.984,3.135,2.3,4.745,3,Canadian,1,-1.6120689007119324,-2.1405773899815856
11.18,12.72,0.868,5.009,2.81,4.051,4.828,3,Canadian,2,-2.814957368729632,-0.5132136226929704
12.7,13.41,0.8874,5.183,3.091,8.456,5.0,3,Canadian,2,-1.8436227773067329,1.3413740363057747
12.37,13.47,0.8567,5.204,2.96,3.919,5.001,3,Canadian,2,-2.005130755049007,-0.08589201421017395
12.19,13.2,0.8783,5.137,2.981,3.631,4.87,3,Canadian,2,-1.991107193405896,-0.865955555175034
11.23,12.88,0.8511,5.14,2.795,4.325,5.003,3,Canadian,2,-2.726864516018906,0.20818972354170173
13.2,13.66,0.8883,5.236,3.232,8.315,5.056,3,Canadian,2,-1.403632808253888,1.2985925846170405
11.84,13.21,0.8521,5.175,2.836,3.598,5.044,3,Canadian,2,-2.339327764094309,-0.09969869620377522
12.3,13.34,0.8684,5.243,2.974,5.637,5.063,3,Canadian,2,-1.9559529295263718,0.5250711828364302
